Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
323717,IX - Zasmboanga Peninsula,126556,Female,65,Extended Family,7,94,1,4,1
91072,IX - Zasmboanga Peninsula,11161,Female,65,Single Family,1,15,10,0,1
157117,IX - Zasmboanga Peninsula,81178,Male,34,Single Family,4,20,11,1,1
205455,IX - Zasmboanga Peninsula,60280,Male,64,Single Family,6,28,21,2,1
112755,IX - Zasmboanga Peninsula,40590,Female,62,Single Family,2,20,10,1,1
103677,IX - Zasmboanga Peninsula,55803,Male,66,Extended Family,5,30,5,3,1
65190,IX - Zasmboanga Peninsula,33412,Male,41,Single Family,5,18,7,0,0
207759,IX - Zasmboanga Peninsula,61055,Male,42,Single Family,3,100,6,2,1
38592,IX - Zasmboanga Peninsula,19292,Female,80,Single Family,1,12,3,0,1
296795,IX - Zasmboanga Peninsula,146066,Female,40,Extended Family,6,12,6,0,1
191390,IX - Zasmboanga Peninsula,62169,Female,77,Extended Family,5,96,3,2,1
44506,IX - Zasmboanga Peninsula,17692,Female,90,Single Family,1,20,15,2,1
370697,IX - Zasmboanga Peninsula,129682,Male,53,Extended Family,13,90,8,4,1
1333210,IX - Zasmboanga Peninsula,395214,Female,50,Extended Family,6,150,10,4,1
125355,IX - Zasmboanga Peninsula,64236,Male,42,Extended Family,6,20,4,1,1
168106,IX - Zasmboanga Peninsula,60092,Male,40,Single Family,6,80,6,1,1
206280,IX - Zasmboanga Peninsula,79071,Male,32,Extended Family,5,40,20,1,1
615081,IX - Zasmboanga Peninsula,263296,Female,34,Single Family,4,110,20,2,1
47572,IX - Zasmboanga Peninsula,17523,Male,57,Single Family,1,12,18,1,1
2334862,IX - Zasmboanga Peninsula,133782,Male,66,Single Family,3,65,53,2,1
243732,IX - Zasmboanga Peninsula,61830,Male,19,Extended Family,4,35,15,2,1
344029,IX - Zasmboanga Peninsula,125066,Male,50,Single Family,7,63,15,6,1
138294,IX - Zasmboanga Peninsula,68108,Male,53,Single Family,3,50,15,2,1
54706,IX - Zasmboanga Peninsula,11933,Male,73,Single Family,1,18,15,1,1
859536,IX - Zasmboanga Peninsula,138670,Male,53,Extended Family,5,35,15,1,1
431137,IX - Zasmboanga Peninsula,41715,Female,79,Single Family,2,150,15,5,1
196324,IX - Zasmboanga Peninsula,75064,Male,45,Extended Family,7,36,11,2,1
111010,IX - Zasmboanga Peninsula,56168,Male,32,Single Family,4,17,15,2,0
331080,IX - Zasmboanga Peninsula,105383,Male,59,Extended Family,10,39,11,2,1
218842,IX - Zasmboanga Peninsula,39091,Female,36,Extended Family,4,32,25,3,1
214314,IX - Zasmboanga Peninsula,84490,Male,47,Extended Family,9,20,7,0,0
112061,IX - Zasmboanga Peninsula,65666,Male,49,Single Family,7,20,6,2,0
98442,IX - Zasmboanga Peninsula,48393,Female,54,Extended Family,9,11,10,0,0
161051,IX - Zasmboanga Peninsula,64040,Male,61,Extended Family,10,20,3,2,1
324778,IX - Zasmboanga Peninsula,93398,Female,44,Single Family,6,32,7,2,1
208474,IX - Zasmboanga Peninsula,66292,Male,54,Extended Family,7,40,34,2,1
99599,IX - Zasmboanga Peninsula,49724,Male,42,Single Family,9,17,1,1,1
120608,IX - Zasmboanga Peninsula,34282,Male,44,Single Family,5,13,1,2,0
99004,IX - Zasmboanga Peninsula,38969,Female,63,Extended Family,4,17,7,0,1
643400,IX - Zasmboanga Peninsula,106200,Male,58,Single Family,3,33,5,3,1
343532,IX - Zasmboanga Peninsula,74649,Male,72,Single Family,4,45,20,2,1
508334,IX - Zasmboanga Peninsula,124533,Male,70,Single Family,6,192,35,4,1
135963,IX - Zasmboanga Peninsula,49251,Male,31,Single Family,4,24,52,2,1
164496,IX - Zasmboanga Peninsula,43365,Male,56,Single Family,3,52,30,3,0
194265,IX - Zasmboanga Peninsula,44208,Female,45,Single Family,4,100,18,3,1
1487906,IX - Zasmboanga Peninsula,255930,Male,61,Single Family,4,250,25,3,1
105695,IX - Zasmboanga Peninsula,43913,Male,43,Single Family,4,14,45,1,1
52702,IX - Zasmboanga Peninsula,10166,Female,65,Single Family,1,20,13,0,0
112075,IX - Zasmboanga Peninsula,65675,Male,44,Extended Family,9,43,7,1,0
110968,IX - Zasmboanga Peninsula,61271,Male,49,Single Family,5,15,7,2,1
67918,IX - Zasmboanga Peninsula,42427,Male,38,Single Family,8,11,2,1,0
98560,IX - Zasmboanga Peninsula,36496,Male,62,Single Family,5,15,10,2,0
110505,IX - Zasmboanga Peninsula,35136,Male,25,Single Family,4,23,2,1,0
71955,IX - Zasmboanga Peninsula,33090,Male,50,Single Family,7,24,11,2,1
62038,IX - Zasmboanga Peninsula,32413,Male,44,Single Family,6,13,7,1,0
117535,IX - Zasmboanga Peninsula,55195,Male,36,Single Family,8,16,5,2,1
47144,IX - Zasmboanga Peninsula,21564,Male,28,Single Family,2,14,13,2,0
104795,IX - Zasmboanga Peninsula,52228,Male,41,Single Family,5,14,7,1,0
70095,IX - Zasmboanga Peninsula,43157,Male,34,Single Family,9,19,5,1,0
412595,IX - Zasmboanga Peninsula,15899,Male,72,Single Family,1,23,4,2,1
41922,IX - Zasmboanga Peninsula,16430,Male,58,Single Family,2,25,9,1,1
50285,IX - Zasmboanga Peninsula,21063,Male,43,Single Family,5,19,1,0,0
107677,IX - Zasmboanga Peninsula,14296,Male,30,Single Family,1,29,20,1,0
406461,IX - Zasmboanga Peninsula,104633,Male,48,Single Family,3,96,12,2,1
140685,IX - Zasmboanga Peninsula,43478,Male,77,Extended Family,4,200,68,3,1
888635,IX - Zasmboanga Peninsula,214794,Male,65,Extended Family,4,75,13,4,1
528145,IX - Zasmboanga Peninsula,167598,Male,74,Two or More Nonrelated Persons/Members,8,100,12,3,1
462907,IX - Zasmboanga Peninsula,122977,Male,49,Single Family,5,75,13,1,1
147643,IX - Zasmboanga Peninsula,42999,Male,60,Single Family,2,24,15,2,1
259643,IX - Zasmboanga Peninsula,102150,Male,59,Extended Family,7,100,16,3,1
142065,IX - Zasmboanga Peninsula,70982,Male,67,Extended Family,7,200,14,2,1
334049,IX - Zasmboanga Peninsula,61189,Female,69,Extended Family,2,150,35,4,1
65720,IX - Zasmboanga Peninsula,32855,Female,50,Single Family,3,38,12,1,0
137917,IX - Zasmboanga Peninsula,71169,Male,52,Single Family,11,20,13,2,1
87549,IX - Zasmboanga Peninsula,35060,Male,62,Single Family,3,120,12,2,1
416448,IX - Zasmboanga Peninsula,168224,Female,43,Single Family,5,72,20,2,1
105475,IX - Zasmboanga Peninsula,56831,Male,42,Single Family,7,32,13,2,1
101310,IX - Zasmboanga Peninsula,58002,Female,66,Single Family,3,35,12,0,1
36463,IX - Zasmboanga Peninsula,21062,Male,73,Single Family,2,24,12,1,0
41802,IX - Zasmboanga Peninsula,13996,Male,72,Single Family,1,54,42,2,1
124818,IX - Zasmboanga Peninsula,55362,Male,29,Single Family,5,28,12,1,1
79550,IX - Zasmboanga Peninsula,25183,Female,53,Single Family,3,49,8,2,1
74649,IX - Zasmboanga Peninsula,30751,Male,46,Single Family,6,27,12,2,0
77450,IX - Zasmboanga Peninsula,16164,Male,53,Extended Family,3,35,15,1,0
29534,IX - Zasmboanga Peninsula,8117,Female,75,Single Family,1,15,25,1,0
120606,IX - Zasmboanga Peninsula,60893,Male,42,Single Family,3,24,16,2,1
148582,IX - Zasmboanga Peninsula,78587,Male,48,Single Family,6,26,20,2,1
166220,IX - Zasmboanga Peninsula,73122,Female,48,Single Family,7,100,15,2,1
85160,IX - Zasmboanga Peninsula,40835,Male,50,Single Family,3,19,30,1,1
104788,IX - Zasmboanga Peninsula,42185,Female,72,Extended Family,5,41,17,2,1
371868,IX - Zasmboanga Peninsula,100362,Male,41,Single Family,5,35,17,5,1
84444,IX - Zasmboanga Peninsula,45427,Male,63,Single Family,7,26,14,1,0
106210,IX - Zasmboanga Peninsula,50386,Female,78,Single Family,2,32,26,3,1
116363,IX - Zasmboanga Peninsula,69498,Female,63,Extended Family,3,24,16,2,1
91643,IX - Zasmboanga Peninsula,39262,Female,48,Single Family,3,36,25,2,1
71650,IX - Zasmboanga Peninsula,31661,Male,62,Single Family,2,13,25,1,1
88275,IX - Zasmboanga Peninsula,41812,Male,61,Single Family,7,32,33,2,1
95870,IX - Zasmboanga Peninsula,41102,Male,34,Single Family,4,26,32,1,1
41184,IX - Zasmboanga Peninsula,14310,Male,52,Single Family,2,11,7,1,1
136175,IX - Zasmboanga Peninsula,92032,Male,36,Single Family,7,17,9,1,1
73495,IX - Zasmboanga Peninsula,18213,Male,57,Single Family,3,18,3,0,1
119085,IX - Zasmboanga Peninsula,59426,Male,33,Single Family,5,54,3,1,1
94785,IX - Zasmboanga Peninsula,46067,Male,43,Single Family,6,17,1,2,1
106133,IX - Zasmboanga Peninsula,36176,Male,50,Single Family,4,37,21,2,1
107658,IX - Zasmboanga Peninsula,40000,Male,47,Single Family,3,15,27,1,1
129850,IX - Zasmboanga Peninsula,46402,Male,44,Single Family,6,36,24,1,1
71194,IX - Zasmboanga Peninsula,25924,Female,58,Single Family,3,15,5,2,1
119190,IX - Zasmboanga Peninsula,55423,Male,52,Single Family,5,32,17,4,1
58344,IX - Zasmboanga Peninsula,15703,Male,58,Single Family,2,13,20,3,1
62749,IX - Zasmboanga Peninsula,25326,Female,72,Single Family,2,55,42,2,1
112870,IX - Zasmboanga Peninsula,45706,Male,51,Single Family,3,17,17,2,1
101576,IX - Zasmboanga Peninsula,61189,Male,38,Single Family,4,7,7,1,1
64985,IX - Zasmboanga Peninsula,15883,Male,69,Single Family,2,7,8,2,1
166752,IX - Zasmboanga Peninsula,62613,Male,56,Single Family,7,32,8,3,1
69399,IX - Zasmboanga Peninsula,33813,Male,61,Extended Family,6,23,16,2,1
89023,IX - Zasmboanga Peninsula,52734,Male,62,Extended Family,11,24,11,2,1
95630,IX - Zasmboanga Peninsula,41569,Male,44,Single Family,4,20,2,1,1
49899,IX - Zasmboanga Peninsula,33016,Male,68,Extended Family,6,20,29,2,1
83765,IX - Zasmboanga Peninsula,44003,Male,52,Extended Family,8,37,12,2,1
117805,IX - Zasmboanga Peninsula,66260,Female,67,Extended Family,5,30,15,2,1
35792,IX - Zasmboanga Peninsula,7213,Female,69,Single Family,1,11,7,1,0
50862,IX - Zasmboanga Peninsula,18157,Female,71,Single Family,1,25,15,1,1
77016,IX - Zasmboanga Peninsula,45613,Male,38,Single Family,5,19,13,0,1
80400,IX - Zasmboanga Peninsula,37375,Male,41,Single Family,6,25,13,2,1
64639,IX - Zasmboanga Peninsula,27894,Male,37,Single Family,3,60,3,2,1
34775,IX - Zasmboanga Peninsula,8100,Male,74,Single Family,1,30,16,1,0
92791,IX - Zasmboanga Peninsula,41788,Male,57,Extended Family,6,80,4,2,1
47406,IX - Zasmboanga Peninsula,21210,Male,66,Single Family,2,18,7,1,1
55925,IX - Zasmboanga Peninsula,27329,Female,64,Extended Family,3,18,29,2,1
101665,IX - Zasmboanga Peninsula,51087,Male,69,Single Family,5,24,22,2,1
77829,IX - Zasmboanga Peninsula,18865,Male,53,Single Family,2,25,5,2,1
31724,IX - Zasmboanga Peninsula,8977,Female,84,Single Family,1,80,6,1,0
55844,IX - Zasmboanga Peninsula,32328,Female,45,Single Family,3,26,2,2,1
104325,IX - Zasmboanga Peninsula,45548,Female,64,Extended Family,3,75,2,2,1
84975,IX - Zasmboanga Peninsula,49724,Male,48,Single Family,8,22,80,0,0
65345,IX - Zasmboanga Peninsula,42880,Male,51,Single Family,6,24,8,1,0
102822,IX - Zasmboanga Peninsula,32534,Male,57,Extended Family,3,43,3,2,1
107090,IX - Zasmboanga Peninsula,47921,Male,49,Single Family,3,26,25,2,1
160172,IX - Zasmboanga Peninsula,76799,Male,58,Extended Family,8,75,32,3,1
124678,IX - Zasmboanga Peninsula,49776,Male,44,Single Family,3,54,6,2,1
92052,IX - Zasmboanga Peninsula,53785,Male,41,Single Family,4,30,36,2,1
95279,IX - Zasmboanga Peninsula,38357,Male,47,Single Family,6,37,6,2,0
63769,IX - Zasmboanga Peninsula,24380,Male,37,Single Family,4,55,6,2,1
119689,IX - Zasmboanga Peninsula,64236,Male,57,Single Family,8,43,17,2,1
54193,IX - Zasmboanga Peninsula,31986,Male,58,Extended Family,6,140,17,2,1
501670,IX - Zasmboanga Peninsula,153738,Male,38,Single Family,4,48,12,2,1
61882,IX - Zasmboanga Peninsula,13104,Female,77,Single Family,1,34,15,2,1
103807,IX - Zasmboanga Peninsula,51439,Male,29,Single Family,5,17,16,1,1
97914,IX - Zasmboanga Peninsula,35816,Female,46,Single Family,4,48,13,2,1
144414,IX - Zasmboanga Peninsula,89045,Male,30,Single Family,5,23,4,1,0
461130,IX - Zasmboanga Peninsula,157068,Male,44,Extended Family,5,26,35,3,1
523207,IX - Zasmboanga Peninsula,180517,Male,51,Single Family,5,92,25,3,1
52410,IX - Zasmboanga Peninsula,28537,Female,57,Single Family,1,10,12,1,1
264464,IX - Zasmboanga Peninsula,66313,Male,65,Extended Family,3,65,30,2,1
356528,IX - Zasmboanga Peninsula,162731,Male,62,Extended Family,7,140,2,3,1
133997,IX - Zasmboanga Peninsula,50130,Male,68,Extended Family,3,74,35,4,1
314877,IX - Zasmboanga Peninsula,42818,Male,60,Single Family,1,65,18,3,1
86062,IX - Zasmboanga Peninsula,44619,Male,42,Single Family,6,16,15,1,1
192507,IX - Zasmboanga Peninsula,69276,Male,38,Single Family,5,18,14,0,1
89223,IX - Zasmboanga Peninsula,32968,Male,65,Single Family,4,43,2,2,1
109127,IX - Zasmboanga Peninsula,52019,Male,57,Extended Family,9,50,1,3,1
66731,IX - Zasmboanga Peninsula,30525,Male,49,Single Family,5,13,4,2,1
33231,IX - Zasmboanga Peninsula,13848,Male,51,Single Family,2,10,2,1,1
242475,IX - Zasmboanga Peninsula,100747,Male,57,Extended Family,6,54,13,2,1
137110,IX - Zasmboanga Peninsula,29611,Female,64,Single Family,2,38,29,3,1
102548,IX - Zasmboanga Peninsula,35416,Female,66,Extended Family,3,23,41,2,1
78426,IX - Zasmboanga Peninsula,34890,Male,71,Two or More Nonrelated Persons/Members,7,43,23,3,1
70308,IX - Zasmboanga Peninsula,22854,Male,44,Single Family,3,40,6,1,0
121002,IX - Zasmboanga Peninsula,52219,Male,44,Single Family,7,28,2,1,0
105953,IX - Zasmboanga Peninsula,63632,Male,50,Extended Family,5,40,14,2,1
376359,IX - Zasmboanga Peninsula,75576,Male,43,Extended Family,6,32,14,2,1
114454,IX - Zasmboanga Peninsula,59826,Male,33,Single Family,8,30,20,1,1
66035,IX - Zasmboanga Peninsula,17491,Male,52,Single Family,1,42,16,2,0
119087,IX - Zasmboanga Peninsula,59457,Female,57,Extended Family,5,25,19,2,1
88165,IX - Zasmboanga Peninsula,30679,Male,54,Single Family,6,86,17,2,0
192835,IX - Zasmboanga Peninsula,71191,Male,59,Extended Family,8,35,17,3,0
106840,IX - Zasmboanga Peninsula,46442,Male,58,Extended Family,7,25,15,2,1
69859,IX - Zasmboanga Peninsula,34895,Male,59,Single Family,2,30,10,2,0
41142,IX - Zasmboanga Peninsula,27139,Female,65,Extended Family,3,28,17,1,1
43777,IX - Zasmboanga Peninsula,17137,Male,21,Single Family,2,30,3,1,0
56104,IX - Zasmboanga Peninsula,30593,Male,43,Single Family,7,64,2,2,0
74400,IX - Zasmboanga Peninsula,42500,Male,40,Single Family,7,15,3,1,0
65998,IX - Zasmboanga Peninsula,44172,Male,47,Single Family,8,43,7,1,0
79768,IX - Zasmboanga Peninsula,52127,Male,55,Extended Family,8,14,15,1,0
73198,IX - Zasmboanga Peninsula,46776,Male,43,Single Family,6,43,4,1,0
44930,IX - Zasmboanga Peninsula,23320,Male,65,Single Family,2,14,9,0,0
36904,IX - Zasmboanga Peninsula,16785,Male,53,Single Family,2,40,3,1,0
72697,IX - Zasmboanga Peninsula,45656,Female,50,Single Family,7,43,8,2,1
107700,IX - Zasmboanga Peninsula,58014,Male,40,Single Family,6,80,6,1,0
37781,IX - Zasmboanga Peninsula,7594,Male,69,Single Family,1,60,26,1,1
121261,IX - Zasmboanga Peninsula,53210,Female,98,Extended Family,4,40,26,2,1
162998,IX - Zasmboanga Peninsula,91688,Female,43,Extended Family,7,15,5,1,1
82407,IX - Zasmboanga Peninsula,45509,Male,53,Extended Family,4,20,3,1,1
220348,IX - Zasmboanga Peninsula,95957,Male,50,Single Family,6,50,12,1,1
73567,IX - Zasmboanga Peninsula,28458,Male,45,Single Family,4,50,17,1,1
146049,IX - Zasmboanga Peninsula,49773,Male,64,Single Family,7,52,16,1,1
117215,IX - Zasmboanga Peninsula,48248,Male,52,Single Family,6,14,2,3,1
77657,IX - Zasmboanga Peninsula,26168,Male,27,Single Family,6,25,6,1,1
104120,IX - Zasmboanga Peninsula,47498,Male,64,Extended Family,5,32,13,1,1
115116,IX - Zasmboanga Peninsula,53825,Male,63,Extended Family,6,67,21,2,1
90457,IX - Zasmboanga Peninsula,33760,Male,44,Single Family,5,80,18,2,1
82615,IX - Zasmboanga Peninsula,43006,Male,61,Extended Family,6,50,1,1,1
28822,IX - Zasmboanga Peninsula,9897,Female,73,Single Family,1,20,3,1,0
119587,IX - Zasmboanga Peninsula,59293,Male,56,Extended Family,5,80,8,3,1
98632,IX - Zasmboanga Peninsula,52509,Male,45,Single Family,9,48,25,1,1
66209,IX - Zasmboanga Peninsula,24259,Male,60,Single Family,3,64,13,2,1
100302,IX - Zasmboanga Peninsula,56025,Male,37,Single Family,10,49,50,2,1
95273,IX - Zasmboanga Peninsula,46477,Female,76,Extended Family,8,60,25,2,1
188388,IX - Zasmboanga Peninsula,78063,Male,75,Extended Family,7,72,9,3,1
79664,IX - Zasmboanga Peninsula,39760,Female,44,Single Family,5,7,8,1,1
58295,IX - Zasmboanga Peninsula,27012,Female,64,Extended Family,4,10,5,1,0
52686,IX - Zasmboanga Peninsula,17095,Male,71,Single Family,2,13,25,1,1
60490,IX - Zasmboanga Peninsula,37521,Male,72,Single Family,2,11,33,1,0
42378,IX - Zasmboanga Peninsula,12300,Female,51,Single Family,2,29,45,2,0
113603,IX - Zasmboanga Peninsula,53134,Male,69,Extended Family,4,20,5,2,1
92024,IX - Zasmboanga Peninsula,44218,Male,46,Single Family,8,11,10,1,1
126166,IX - Zasmboanga Peninsula,40977,Male,46,Extended Family,5,15,11,2,1
87410,IX - Zasmboanga Peninsula,34040,Male,52,Extended Family,5,26,12,2,1
99042,IX - Zasmboanga Peninsula,65157,Male,33,Single Family,6,50,40,2,1
76682,IX - Zasmboanga Peninsula,39674,Male,45,Single Family,4,26,3,2,1
96925,IX - Zasmboanga Peninsula,42921,Male,32,Single Family,4,150,8,2,1
97600,IX - Zasmboanga Peninsula,51826,Male,28,Single Family,4,35,9,2,1
102239,IX - Zasmboanga Peninsula,53408,Male,67,Extended Family,5,40,32,3,1
365602,IX - Zasmboanga Peninsula,90884,Male,45,Single Family,5,65,27,3,1
93606,IX - Zasmboanga Peninsula,44900,Male,47,Single Family,5,13,7,1,1
63735,IX - Zasmboanga Peninsula,28048,Male,24,Single Family,3,36,12,1,0
542005,IX - Zasmboanga Peninsula,178062,Male,33,Single Family,5,29,2,3,1
53410,IX - Zasmboanga Peninsula,24760,Male,25,Single Family,3,14,15,1,1
76675,IX - Zasmboanga Peninsula,30200,Male,29,Single Family,5,23,2,2,0
409940,IX - Zasmboanga Peninsula,99949,Male,42,Single Family,5,108,7,3,1
68694,IX - Zasmboanga Peninsula,26289,Male,73,Single Family,3,15,45,1,0
131898,IX - Zasmboanga Peninsula,55522,Male,45,Single Family,4,80,69,3,1
180085,IX - Zasmboanga Peninsula,60650,Male,42,Extended Family,5,59,5,3,1
73252,IX - Zasmboanga Peninsula,33159,Male,46,Single Family,4,12,9,1,1
62660,IX - Zasmboanga Peninsula,26537,Female,60,Extended Family,6,15,2,1,0
93726,IX - Zasmboanga Peninsula,54021,Male,47,Single Family,7,19,15,2,1
70251,IX - Zasmboanga Peninsula,27534,Male,34,Single Family,5,30,7,1,0
48727,IX - Zasmboanga Peninsula,28870,Male,35,Single Family,4,11,22,2,1
177390,IX - Zasmboanga Peninsula,66460,Male,79,Single Family,5,42,8,2,1
73870,IX - Zasmboanga Peninsula,38377,Male,54,Single Family,8,34,15,1,1
65100,IX - Zasmboanga Peninsula,46346,Male,50,Single Family,7,11,5,1,1
73842,IX - Zasmboanga Peninsula,46104,Male,43,Single Family,5,15,5,2,0
75550,IX - Zasmboanga Peninsula,51227,Male,42,Single Family,8,13,1,1,1
37710,IX - Zasmboanga Peninsula,18068,Male,59,Single Family,2,17,13,2,0
48102,IX - Zasmboanga Peninsula,22163,Male,50,Single Family,3,15,14,1,0
119799,IX - Zasmboanga Peninsula,58236,Male,55,Single Family,4,16,7,2,1
54040,IX - Zasmboanga Peninsula,32986,Male,32,Single Family,5,16,2,2,1
68695,IX - Zasmboanga Peninsula,34871,Male,45,Single Family,5,17,7,1,0
58940,IX - Zasmboanga Peninsula,31115,Male,45,Single Family,5,17,27,1,0
70429,IX - Zasmboanga Peninsula,41704,Male,45,Single Family,8,17,14,2,1
52768,IX - Zasmboanga Peninsula,21292,Male,59,Extended Family,3,17,10,0,1
59196,IX - Zasmboanga Peninsula,27559,Male,44,Single Family,3,17,14,1,1
59395,IX - Zasmboanga Peninsula,39542,Male,36,Single Family,8,18,15,2,0
22956,IX - Zasmboanga Peninsula,7495,Male,64,Single Family,1,11,4,1,0
88775,IX - Zasmboanga Peninsula,47592,Male,46,Single Family,9,18,14,1,0
121706,IX - Zasmboanga Peninsula,64350,Male,74,Extended Family,8,63,4,2,0
115680,IX - Zasmboanga Peninsula,58672,Male,68,Single Family,4,11,25,2,1
72119,IX - Zasmboanga Peninsula,45980,Male,43,Single Family,8,19,4,1,1
302155,IX - Zasmboanga Peninsula,60018,Male,40,Single Family,6,17,6,2,1
128206,IX - Zasmboanga Peninsula,43262,Male,42,Single Family,7,23,2,2,0
54984,IX - Zasmboanga Peninsula,28593,Female,43,Extended Family,4,23,2,4,1
68990,IX - Zasmboanga Peninsula,44475,Male,48,Extended Family,7,29,2,1,0
126445,IX - Zasmboanga Peninsula,45137,Male,55,Extended Family,7,16,2,2,1
43085,IX - Zasmboanga Peninsula,26151,Male,32,Single Family,2,13,2,1,0
126405,IX - Zasmboanga Peninsula,40266,Female,80,Extended Family,2,15,3,2,0
69304,IX - Zasmboanga Peninsula,35789,Male,50,Single Family,3,24,3,2,0
47254,IX - Zasmboanga Peninsula,26638,Male,66,Extended Family,4,13,2,2,0
106290,IX - Zasmboanga Peninsula,49689,Male,59,Single Family,7,80,25,2,1
69050,IX - Zasmboanga Peninsula,36539,Male,29,Single Family,3,30,15,0,0
71420,IX - Zasmboanga Peninsula,42717,Male,55,Single Family,6,21,8,0,0
74118,IX - Zasmboanga Peninsula,49840,Male,42,Extended Family,10,24,1,2,0
29048,IX - Zasmboanga Peninsula,12398,Male,45,Extended Family,2,11,1,1,0
132524,IX - Zasmboanga Peninsula,57272,Male,37,Single Family,10,13,7,2,1
70052,IX - Zasmboanga Peninsula,37513,Male,41,Single Family,3,11,6,1,1
125370,IX - Zasmboanga Peninsula,51949,Male,40,Extended Family,3,134,27,3,1
314664,IX - Zasmboanga Peninsula,66563,Male,51,Single Family,3,72,24,2,1
184279,IX - Zasmboanga Peninsula,68623,Male,57,Extended Family,5,16,7,2,1
107985,IX - Zasmboanga Peninsula,41808,Male,44,Extended Family,5,80,5,2,1
